"性","セイ","名","メイ","年齢","年齢階層","性別","身長","体重","bmi","所在地","最終学歴","専攻学科","職業","給料","配偶状況","初婚年齢","喫煙","飲酒","生活満足度"
"蝦夷森","えぞもり","博光","ひろてる",63,"60-64","男",174.7,71.1,23.3,"東京都","高校・旧中","なし","専門的・技術的職業従事者","300万円～","有配偶",35,"吸わない","毎日","やや不満だ"
"千々布","ちちぶ","在影","ありかげ",70,"70-74","男",173.6,78.4,26,"群馬県","大学・大学院","大学 工学","サービス職業従事者","900万円～","有配偶",35,"吸わない","飲まない (飲めない)","やや満足"
"海堀","かいほり","珠里","しゆり",71,"70-74","女",161.9,44.3,16.9,"熊本県","高校・旧中","なし","無職その他","300万円～","有配偶",27,"吸わない","飲まない (飲めない)","やや満足"
"鞍懸","くらかけ","逸蔵","いつぞう",73,"70-74","男",160.1,50,19.5,"東京都","高校・旧中","なし","農林漁業従事者","500万円～","有配偶",32,"毎日吸っている","毎日","やや満足"
"眞井","さない","由音","ゆおん",85,"85-89","女",150.9,37.8,16.6,"北海道","小学校・中学校","なし","無職その他","200万円～","死別",35,"吸わない","ほとんど飲まない","やや満足"
"垣見","かけひ","厳邑","みねさと",18,"15-19","男",167.3,46.2,16.5,"埼玉県","高校・旧中","なし","無職その他","600万円～","未婚",NA,"吸わない","飲まない (飲めない)","満足"
"矢ノ口","やのくち","隆規","たかのり",28,"25-29","男",167.8,57.4,20.4,"大阪府","大学・大学院","大学 工学","無職その他","600万円～","有配偶",26,"吸わない","飲まない (飲めない)","やや満足"
"近田","ちかだ","重俊","しげとし",41,"40-44","男",178.7,77.3,24.2,"兵庫県","大学・大学院","大学 その他","生産工程従事者","100万円～","有配偶",38,"吸わない","毎日","やや満足"
"久乗","くのり","紗士","しゃち",51,"50-54","男",176,60.1,19.4,"大阪府","大学・大学院","大学 社会科学","販売従事者","300万円～","有配偶",40,"吸わない","月に１-３日","やや満足"
"四月一日","わたぬき","治巳","はるみ",58,"55-59","男",173.2,58.8,19.6,"茨城県","高校・旧中","なし","建設・採掘従事者","300万円～","有配偶",23,"吸わない","週１-２日","やや満足"
"佐古","さこ","小隼","こはや",71,"70-74","女",144.7,51.1,24.4,"東京都","高校・旧中","なし","無職その他","1500万円～2000万円","有配偶",22,"吸わない","週５-６日","満足"
"片伯部","かたかべ","天呉","てんご",39,"35-39","男",179,81.4,25.4,"東京都","高校・旧中","なし","生産工程従事者","700万円～","離別",36,"毎日吸っている","週１-２日","やや満足"
"久保出","くぼで","愛菓","あいか",74,"70-74","女",152.9,62.2,26.6,"埼玉県","小学校・中学校","なし","農林漁業従事者","100万円以下","有配偶",43,"吸わない","ほとんど飲まない","やや満足"
"佐官","さかん","瑚暖","この",55,"55-59","女",147.3,46.2,21.3,"宮城県","小学校・中学校","なし","無職その他","700万円～","有配偶",26,"以前は吸っていたが.１か月以上吸っていない","毎日","不満だ"
"津留","つどめ","色真","いろま",44,"40-44","女",148.8,46.5,21,"埼玉県","高校・旧中","なし","サービス職業従事者","100万円～","有配偶",32,"吸わない","ほとんど飲まない","満足"
"浪越","なお","速人","はやひと",32,"30-34","男",170.8,86.1,29.5,"山口県","高校・旧中","なし","サービス職業従事者","700万円～","有配偶",25,"吸わない","毎日","やや満足"
"日城","ひしろ","由多河","ゆたか",88,"85-89","男",165.6,74,27,"埼玉県","小学校・中学校","なし","無職その他","800万円～","有配偶",27,"以前は吸っていたが.１か月以上吸っていない","やめた","やや満足"
"仙洞田","せんどうた","桜紡","さほ",34,"30-34","女",167.8,80,28.4,"鹿児島県","短大・高専","短大 人文","専門的・技術的職業従事者","200万円～","有配偶",27,"吸わない","週５-６日","やや満足"
"清木場","きよこば","優愛","ゆえ",45,"45-49","女",157.1,59.7,24.2,"大阪府","短大・高専","短大 家政","無職その他","1000万円～1500万円","有配偶",31,"吸わない","飲まない (飲めない)","やや満足"
"改野","かいの","流真","るしん",36,"35-39","男",168.9,49.9,17.5,"愛知県","大学・大学院","大学 社会科学","無職その他","500万円～","未婚",NA,"毎日吸っている","飲まない (飲めない)","どちらともいえない"
